"""""*""a""","""""*""b""","""""*""a""","""""*""b"""
"5*""""","7*""""","5*""""","7*"""""
"2.8000000000000007105`2.*""""","-53.0942857142857462804`2.*""""","2.8000000000000007105`2.*""""","-53.0942857142857462804`2.*"""""
"2.9000000000000003553`2.*""""","-57.1458620689655276692`2.*""""","2.9000000000000003553`2.*""""","-57.1458620689655276692`2.*"""""
"3.`2.*""""","-61.3333333333333357018`2.*""""","3.`2.*""""","-61.3333333333333357018`2.*"""""
"3.0999999999999996447`2.*""""","-65.6570967741935334061`2.*""""","3.0999999999999996447`2.*""""","-65.6570967741935334061`2.*"""""
"3.2000000000000010658`2.*""""","-70.1175000000000494538`2.*""""","3.2000000000000010658`2.*""""","-70.1175000000000494538`2.*"""""
"3.3000000000000007105`2.*""""","-74.7148484848485168186`2.*""""","3.3000000000000007105`2.*""""","-74.7148484848485168186`2.*"""""
"3.4000000000000003553`2.*""""","-79.449411764705899941`2.*""""","3.4000000000000003553`2.*""""","-79.449411764705899941`2.*"""""
"3.5`2.*""""","-84.3214285714285693984`2.*""""","3.5`2.*""""","-84.3214285714285693984`2.*"""""
"3.5999999999999996447`2.*""""","-89.3311111111110989214`2.*""""","3.5999999999999996447`2.*""""","-89.3311111111110989214`2.*"""""
"3.7000000000000010658`2.*""""","-94.4786486486487007141`2.*""""","3.7000000000000010658`2.*""""","-94.4786486486487007141`2.*"""""
"3.8000000000000007105`2.*""""","-99.7642105263158356365`2.*""""","3.8000000000000007105`2.*""""","-99.7642105263158356365`2.*"""""
"3.9000000000000003553`2.*""""","-105.187948717948728472`2.*""""","3.9000000000000003553`2.*""""","-105.187948717948728472`2.*"""""
"4.`2.*""""","-110.75`2.*""""","4.`2.*""""","-110.75`2.*"""""
"4.0999999999999996447`2.*""""","-116.4504878048780369681`2.*""""","4.0999999999999996447`2.*""""","-116.4504878048780369681`2.*"""""
"4.2000000000000010658`2.*""""","-122.2895238095238568121`2.*""""","4.2000000000000010658`2.*""""","-122.2895238095238568121`2.*"""""
"4.3000000000000007105`2.*""""","-128.2672093023256252309`2.*""""","4.3000000000000007105`2.*""""","-128.2672093023256252309`2.*"""""
"4.4000000000000003553`2.*""""","-134.3836363636363842033`2.*""""","4.4000000000000003553`2.*""""","-134.3836363636363842033`2.*"""""
"4.5`2.*""""","-140.6388888888888857309`2.*""""","4.5`2.*""""","-140.6388888888888857309`2.*"""""
"4.6000000000000014211`2.*""""","-147.0330434782609643207`2.*""""","4.6000000000000014211`2.*""""","-147.0330434782609643207`2.*"""""
"4.7000000000000010658`2.*""""","-153.5661702127660248607`2.*""""","4.7000000000000010658`2.*""""","-153.5661702127660248607`2.*"""""
"4.8000000000000007105`2.*""""","-160.2383333333333723658`2.*""""","4.8000000000000007105`2.*""""","-160.2383333333333723658`2.*"""""
"4.9000000000000003553`2.*""""","-167.04959183673474854`2.*""""","4.9000000000000003553`2.*""""","-167.04959183673474854`2.*"""""
"5.`2.*""""","-174.`2.*""""","5.`2.*""""","-174.`2.*"""""
